Tanggal Penerbitan;Waktu;Aktual;Perkiraan;Sebelumnya;
01/06/2015;11:00;0,50%;0,39%;0,36%;
04/05/2015;11:00;0,36%;0,35%;0,17%;
01/04/2015;11:00;0,17%;0,20%;-0,36%;
02/03/2015;11:00;-0,36%;0,08%;-0,24%;
02/02/2015;10:00;-0,24%;0,26%;2,46%;
02/01/2015;11:00;2,46%;1,97%;1,50%;
01/12/2014;11:00;1,50%;1,20%;0,47%;	
03/11/2014;11:00;0,47%;0,35%;0,27%;	
01/10/2014;10:00;0,27%;0,34%;0,47%;	
01/09/2014;11:00;0,47%;0,42%;0,93%;	
04/08/2014;11:00;0,93%;0,89%;0,43%;	
01/07/2014;11:00;0,43%;0,47%;0,16%;	
02/06/2014;11:00;0,16%;0,11%;-0,02%; 	
02/05/2014;09:00;-0,02%;0,05%;0,08%;	
01/04/2014;11:00;0,08%;0,11%;0,26%;
03/03/2014;11:00;0,26%;0,50%;1,07%;
01/02/2014;16:00;1,07%;;0,45%;
01/01/2014;16:00;0,45%;;0,16%;
