Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AKSI.JK,ASSA.JK,CMPP.JK,GIAA.JK,IMJS.JK,MIRA.JK,MITI.JK,NELY.JK,SMDR.JK,TMAS.JK,AKSI.JK,ASSA.JK,CMPP.JK,GIAA.JK,IMJS.JK,MIRA.JK,MITI.JK,NELY.JK,SMDR.JK,TMAS.JK,AKSI.JK,ASSA.JK,CMPP.JK,GIAA.JK,IMJS.JK,MIRA.JK,MITI.JK,NELY.JK,SMDR.JK,TMAS.JK,AKSI.JK,ASSA.JK,CMPP.JK,GIAA.JK,IMJS.JK,MIRA.JK,MITI.JK,NELY.JK,SMDR.JK,TMAS.JK,AKSI.JK,ASSA.JK,CMPP.JK,GIAA.JK,IMJS.JK,MIRA.JK,MITI.JK,NELY.JK,SMDR.JK,TMAS.JK
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-15,125.0,200.08900451660156,158.6885986328125,451.09674072265625,545.0086059570312,55.0,628.3846435546875,87.31300354003906,14.849400520324707,10.314759254455566,125.0,200.82192741102637,158.6885986328125,453.82513427734375,545.0086059570312,59.0,628.3846435546875,87.90696955051553,14.849400520324707,10.314759254455566,125.0,194.22559712353348,158.6885986328125,449.2778015136719,525.8854589846865,55.0,599.821745382051,87.31300354003906,14.849400520324707,10.314759254455566,125.0,200.08900451660156,158.6885986328125,452.9156799316406,545.0086059570312,58.0,609.3426918005591,87.90696955051553,14.849400520324707,10.314759254455566,1000,370275.0,403,1448977,959256.0,1351100.0,101660,583400.0,13950000,0
2014-01-16,125.0,214.01463317871094,158.6885986328125,451.09674072265625,545.0086059570312,56.0,628.3846435546875,97.41040802001953,14.849400520324707,10.314759254455566,125.0,219.14511788918068,158.6885986328125,459.2819519042969,545.0086059570312,57.0,647.4266542259281,97.41040802001953,14.849400520324707,10.314759254455566,125.0,197.89023188494548,158.6885986328125,449.2778015136719,545.0086059570312,55.0,618.8636971361794,97.41040802001953,14.849400520324707,10.314759254455566,125.0,199.35608985315199,158.6885986328125,449.2778015136719,545.0086059570312,55.0,628.3846435546875,97.41040802001953,14.849400520324707,10.314759254455566,1000,21462769.0,403,3009997,959256.0,2398900.0,17914,506500.0,13950000,0
2014-01-17,125.0,213.2816925048828,158.6885986328125,445.6399230957031,554.5702514648438,56.0,666.4686279296875,94.44059753417969,14.849400520324707,10.314759254455566,125.0,215.48048558350268,158.6885986328125,449.2778015136719,554.5702514648438,57.0,666.4686279296875,94.44059753417969,14.849400520324707,10.314759254455566,125.0,209.6170777699688,158.6885986328125,445.6399230957031,545.0087054960184,56.0,628.3846642500524,94.44059753417969,14.849400520324707,10.314759254455566,125.0,214.01463968953706,158.6885986328125,447.4588623046875,545.0087054960184,57.0,637.9056698992397,94.44059753417969,14.849400520324707,10.314759254455566,1000,3070676.0,403,2894325,338572.0,466900.0,37421,540000.0,13950000,0
2014-01-20,125.0,210.34999084472656,158.6885986328125,445.6399230957031,588.0355834960938,58.0,666.4686279296875,94.44059753417969,14.849400520324707,10.314759254455566,125.0,213.28168249506652,158.6885986328125,447.4588623046875,592.8163848650993,58.0,675.9895746617607,94.44059753417969,14.849400520324707,10.314759254455566,125.0,210.34999084472656,158.6885986328125,444.7304382324219,554.570149494913,56.0,656.9476222805001,94.44059753417969,14.849400520324707,10.314759254455566,125.0,212.54875958248155,158.6885986328125,446.54937744140625,564.1316937056381,56.0,656.9476222805001,94.44059753417969,14.849400520324707,10.314759254455566,0,739467.0,0,28343125,3279925.0,1740900.0,18452,507500.0,0,0
2014-01-21,125.0,214.01463317871094,146.29104614257812,444.7304382324219,583.2548217773438,57.0,656.9476318359375,92.65868377685547,14.849400520324707,10.314759254455566,125.0,214.01463317871094,148.7705535888672,450.187255859375,597.5971683320817,58.0,666.4686376236098,93.84661562014848,14.849400520324707,10.314759254455566,125.0,210.34999431761236,146.29104614257812,444.7304382324219,583.2548217773438,56.0,647.4266849653802,92.65868377685547,14.849400520324707,10.314759254455566,125.0,210.34999431761236,148.7705535888672,450.187255859375,583.2548217773438,58.0,656.9476318359375,93.84661562014848,14.849400520324707,10.314759254455566,0,1328961.0,1613,5679686,2449238.0,453900.0,163049,547600.0,20000,0
2014-01-22,125.0,218.4121856689453,166.1271209716797,444.7304382324219,588.0355834960938,57.0,666.4686279296875,93.25265502929688,14.849400520324707,10.314759254455566,125.0,219.87803145593057,168.60662841796875,448.3683166503906,592.8163848650993,58.0,666.4686279296875,93.25265502929688,14.849400520324707,10.314759254455566,125.0,212.548754045665,166.1271209716797,442.9114990234375,583.2547821270881,57.0,647.426675548427,93.25265502929688,14.849400520324707,10.314759254455566,125.0,214.0146240703199,168.60662841796875,444.7304382324219,592.8163848650993,57.0,656.9476222805001,93.25265502929688,14.849400520324707,10.314759254455566,0,5826234.0,806,13955172,1586659.0,217200.0,41142,545000.0,50000,0
2014-01-23,125.0,223.54269409179688,166.1271209716797,443.82098388671875,592.8164672851562,58.0,675.9895629882812,93.84664154052734,14.849400520324707,10.314759254455566,125.0,230.8719480490054,166.1271209716797,446.54937744140625,592.8164672851562,58.0,675.9895629882812,100.38026848322228,14.849400520324707,10.314759254455566,125.0,219.14513202240283,166.1271209716797,442.9114990234375,583.2548632177826,57.0,666.4686164206228,93.84664154052734,14.849400520324707,10.314759254455566,125.0,219.87805499435646,166.1271209716797,442.9114990234375,583.2548632177826,57.0,666.4686164206228,100.38026848322228,14.849400520324707,10.314759254455566,0,4184646.0,0,10010564,488503.0,268800.0,122130,503100.0,0,0
2014-01-24,125.0,223.54269409179688,166.1271209716797,445.6399230957031,597.59716796875,56.0,685.5105590820312,87.90696716308594,14.849400520324707,10.314759254455566,125.0,225.74146300765773,166.1271209716797,445.6399230957031,602.3779696598527,57.0,695.0315055192593,89.09489915177629,14.849400520324707,10.314759254455566,125.0,219.87805499435646,166.1271209716797,442.0020446777344,583.2548214227321,56.0,656.9476019361222,87.90696716308594,14.849400520324707,10.314759254455566,125.0,223.54269409179688,166.1271209716797,445.6399230957031,597.59716796875,56.0,685.5105590820312,87.90696716308594,14.849400520324707,10.314759254455566,0,3296613.0,0,29473014,664710.0,157700.0,13839,561400.0,0,0
2014-01-27,125.0,216.2134246826172,166.1271209716797,441.0925598144531,597.59716796875,56.0,685.5105590820312,87.90696716308594,14.849400520324707,10.314759254455566,125.0,223.54270317531876,166.1271209716797,443.82098388671875,597.59716796875,57.0,695.0315055192593,87.90696716308594,14.849400520324707,10.314759254455566,125.0,216.2134246826172,166.1271209716797,439.2736511230469,573.6932765678168,56.0,656.9476019361222,87.90696716308594,14.849400520324707,10.314759254455566,125.0,223.54270317531876,166.1271209716797,441.0925598144531,578.4740782589195,56.0,695.0315055192593,87.90696716308594,14.849400520324707,10.314759254455566,0,2281470.0,0,15732143,356023.0,4534400.0,9256,0.0,0,0
2014-01-28,125.0,219.87803649902344,126.4549789428711,436.54522705078125,597.59716796875,56.0,675.9895629882812,87.90696716308594,14.849400520324707,10.314759254455566,125.0,219.87803649902344,161.16810607910156,441.0925598144531,597.59716796875,57.0,675.9895629882812,87.90696716308594,14.849400520324707,10.314759254455566,125.0,215.48047479953618,126.4549789428711,436.54522705078125,597.59716796875,56.0,666.4686164206228,87.90696716308594,14.849400520324707,10.314759254455566,125.0,219.87803649902344,161.16810607910156,439.2736511230469,597.59716796875,56.0,675.9895629882812,87.90696716308594,14.849400520324707,10.314759254455566,0,1258633.0,1613,30613020,75216.0,639100.0,18361,0.0,0,0
