Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol;Perubahan
01/07/2019;6.390,50;6.381,18;6.468,25;6.283,60;303,57B;+0.50%
01/06/2019;6.358,63;6.277,29;6.377,35;6.190,52;153,94B;+2.41%
01/05/2019;6.209,12;6.458,12;6.465,77;5.767,40;193,22B;-3.81%
01/04/2019;6.455,35;6.485,72;6.636,33;6.321,66;193,43B;-0.21%
01/03/2019;6.468,75;6.468,62;6.537,23;6.337,87;198,76B;+0.39%
01/02/2019;6.443,35;6.552,06;6.581,73;6.374,90;195,52B;-1.37%
01/01/2019;6.532,97;6.197,87;6.544,48;6.164,83;202,72B;+5.46%
01/12/2018;6.194,50;6.118,06;6.212,13;6.014,79;122,01B;+2.28%
01/11/2018;6.056,12;5.855,22;6.117,19;5.747,53;139,19B;+3.85%
01/10/2018;5.831,65;5.950,86;5.982,06;5.623,84;153,96B;-2.42%
01/09/2018;5.976,55;6.025,41;6.026,92;5.621,60;121,00B;-0.70%
01/08/2018;6.018,46;5.952,94;6.117,29;5.689,94;125,76B;+1.38%
01/07/2018;5.936,44;5.828,50;6.027,94;5.557,56;132,06B;+2.37%
01/06/2018;5.799,24;6.004,12;6.116,43;5.661,01;80,01B;-3.08%
01/05/2018;5.983,59;5.999,36;6.095,83;5.716,65;128,85B;-0.18%
01/04/2018;5.994,60;6.194,51;6.380,35;5.885,34;136,24B;-3.14%
01/03/2018;6.188,99;6.605,31;6.630,13;6.085,21;166,91B;-6.19%
01/02/2018;6.597,22;6.625,35;6.693,47;6.426,76;205,58B;-0.13%
01/01/2018;6.605,63;6.366,08;6.686,35;6.220,69;189,42B;+3.93%
01/12/2017;6.355,65;6.014,06;6.368,32;5.979,48;101,31B;+6.78%
01/11/2017;5.952,14;6.017,04;6.098,78;5.952,14;134,02B;-0.89%
01/10/2017;6.005,78;5.917,75;6.042,45;5.860,76;136,39B;+1.78%
01/09/2017;5.900,85;5.858,21;5.928,79;5.774,31;111,18B;+0.63%
01/08/2017;5.864,06;5.853,51;5.916,82;5.749,29;130,70B;+0.40%
01/07/2017;5.840,94;5.846,60;5.910,24;5.756,51;98,94B;+0.19%
